CDU,SPD,LINKE,GRUENE,FDP,AFD,PIRATEN,NPD,FREIE,TIERUMW,ODP,PARTEI,BAYERN,VOLKSAB,PDV,MLPD,BUSO,SGP,RECHTE,ADD,TIERALLI,BERG,GRUND,DIB,DKP,DM,GRAUEN,URBANE,MENSCH,HUMAN,GESUND,VPARTEI
1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,0
0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,,,1,1,1,0,0,,1,,,1
,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,0
0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,,1,1,1,1,1,1,1,1,1,,1
1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1
0,,1,1,1,1,1,1,1,,1,1,1,0,,0,0,1,1,0,0,1,1,,1,0,1,,0,1,,1
1,1,0,0,,1,0,1,1,0,,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,,0
0,,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,,,
0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,,,1,1,1,0,0,1,1,1,,1
1,,0,0,1,1,0,,1,0,0,0,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,,1,0,0,1,1,,0,1,0,1,1,1,1,0,,1
,0,1,1,0,1,1,1,0,1,1,1,,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,,1
0,0,0,0,0,0,0,1,0,0,0,0,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
1,0,0,0,1,,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,,0,0,0,1,0,0,0,1,,0
1,0,0,0,1,0,0,,0,0,1,1,0,1,0,1,1,1,0,0,,,,1,0,0,1,0,0,1,,0
0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,1,1,0,0,1,,0,1,0,0,0,0,0,,0
1,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,1,0,,1,1,1,1,1,,1,1,,1,,1
,0,0,0,1,1,0,1,1,,1,0,1,0,,0,0,0,1,1,,1,0,0,0,1,0,,,1,,
,1,1,1,0,1,1,,0,1,1,0,1,1,0,1,,,0,0,1,1,1,1,1,0,0,1,1,1,,1
,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,,0
1,1,0,1,1,,1,0,1,,1,0,1,0,1,0,0,0,0,1,0,,0,,0,1,,0,0,1,,1
,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,,1,1,1,1,1,0,1,1,1,,1
0,0,1,0,,,1,1,1,1,1,1,1,0,,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,1
0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,,1,0,1,0,0,,0,0,0,1,1,0,0,0,,0
0,0,0,0,1,1,1,1,,0,1,0,1,1,1,,0,,1,1,0,0,,0,0,0,1,0,0,,,0
,,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,,1,,1,1,1,1,1,1,,,1
0,0,0,0,0,1,0,1,0,,0,0,,0,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,0
0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,,1
1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,1
1,0,0,0,1,1,,1,1,,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,1,1,,0,,,1
0,,1,0,0,0,1,,0,1,,1,0,0,0,,,1,0,0,,1,1,1,1,1,1,1,1,0,,1
0,0,1,1,1,0,1,0,0,,0,1,0,0,1,,0,1,0,,1,,1,1,1,1,,1,1,1,,1
,0,0,,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,,0,,1,1,1,1,,,,,1
1,1,0,,1,1,0,,1,1,1,1,1,1,1,0,0,0,1,1,,0,0,0,0,1,1,0,1,0,,1
1,1,1,1,,0,1,1,1,1,0,1,,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,,
1,1,0,1,,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,,0,0,0,0,1,0,,1,0,,0
0,0,,,0,0,1,0,0,1,0,1,,1,,0,0,1,1,0,,1,1,1,0,1,,1,1,1,,1
1,1,,1,1,0,1,0,1,1,1,1,,,,,0,0,0,1,1,1,1,1,0,1,,1,1,1,,1
